age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
34,management,single,primary,no,-163.5,yes,no,cellular,15,jul,860,4,-1,0,unknown,yes
37,management,single,tertiary,no,2662.5,no,no,cellular,15,jul,514,5,-1,0,unknown,yes
30,management,single,primary,no,0.0,no,no,cellular,15,jul,716,3,-1,0,unknown,yes
27,management,single,tertiary,no,226.5,yes,no,cellular,16,jul,496,1,-1,0,unknown,yes
39,management,single,tertiary,no,895.5,no,no,cellular,16,jul,686,6,-1,0,unknown,yes
35,management,single,tertiary,no,54.0,no,yes,cellular,16,jul,1656,5,-1,0,unknown,yes
35,management,single,primary,no,169.5,yes,no,cellular,17,jul,923,2,-1,0,unknown,yes
27,management,single,secondary,no,2730.0,yes,no,cellular,17,jul,1027,1,-1,0,unknown,yes
33,management,single,secondary,no,991.5,yes,no,cellular,18,jul,968,1,-1,0,unknown,yes
32,management,single,primary,no,153.0,yes,no,cellular,18,jul,560,1,-1,0,unknown,yes
31,management,single,secondary,no,0.0,yes,yes,cellular,18,jul,913,4,-1,0,unknown,yes
31,management,single,tertiary,no,487.5,yes,no,cellular,18,jul,1139,2,-1,0,unknown,yes
26,management,single,primary,no,613.5,yes,no,cellular,21,jul,577,2,-1,0,unknown,yes
34,management,single,secondary,no,-45.0,no,no,cellular,21,jul,1360,3,-1,0,unknown,yes
26,management,single,secondary,no,-568.5,yes,yes,cellular,22,jul,1237,7,-1,0,unknown,yes
25,management,single,unknown,no,523.5,yes,no,cellular,22,jul,1037,8,-1,0,unknown,yes
25,management,single,secondary,no,-370.5,yes,no,cellular,23,jul,633,1,-1,0,unknown,yes
27,management,single,secondary,no,-588.0,yes,no,cellular,23,jul,228,2,-1,0,unknown,yes
33,management,single,tertiary,no,592.5,yes,no,cellular,23,jul,1359,6,-1,0,unknown,yes
38,management,single,tertiary,no,0.0,no,no,cellular,23,jul,532,2,-1,0,unknown,yes
28,management,single,secondary,no,510.0,yes,no,cellular,24,jul,821,2,-1,0,unknown,yes
28,management,single,tertiary,no,745.5,yes,no,cellular,24,jul,1602,6,-1,0,unknown,yes
26,management,single,secondary,no,1411.5,no,yes,cellular,25,jul,784,1,-1,0,unknown,yes
37,management,single,secondary,no,1162.5,no,yes,cellular,25,jul,1000,1,-1,0,unknown,yes
30,management,single,tertiary,no,3.0,yes,yes,cellular,25,jul,1031,8,-1,0,unknown,yes
37,management,single,secondary,no,7536.0,no,yes,cellular,25,jul,661,4,-1,0,unknown,yes
31,management,single,tertiary,no,0.0,yes,yes,cellular,28,jul,664,8,-1,0,unknown,yes
34,management,single,secondary,no,4434.0,no,no,cellular,6,aug,835,2,-1,0,unknown,yes
35,management,single,tertiary,no,219.0,no,no,cellular,6,aug,720,2,-1,0,unknown,yes
36,management,single,tertiary,yes,54.0,no,no,cellular,6,aug,836,4,-1,0,unknown,yes
32,management,single,secondary,no,840.0,no,no,cellular,6,aug,1044,4,-1,0,unknown,yes
32,management,single,tertiary,no,2134.5,no,no,cellular,6,aug,1249,4,-1,0,unknown,yes
32,management,single,tertiary,no,6436.5,no,no,cellular,7,aug,1321,9,-1,0,unknown,yes
35,management,single,tertiary,no,123.0,no,no,cellular,8,aug,507,4,-1,0,unknown,yes
33,management,single,tertiary,no,1570.5,no,no,cellular,8,aug,512,4,-1,0,unknown,yes
35,management,single,tertiary,no,4435.5,yes,yes,cellular,8,aug,733,3,-1,0,unknown,yes
31,management,single,tertiary,no,3.0,no,no,cellular,8,aug,848,1,-1,0,unknown,yes
36,management,single,secondary,no,1.5,no,no,cellular,8,aug,1242,3,-1,0,unknown,yes
31,management,single,tertiary,no,2787.0,no,no,cellular,12,aug,453,3,-1,0,unknown,yes
35,management,single,secondary,no,-270.0,no,yes,cellular,13,aug,823,2,-1,0,unknown,yes
32,management,single,tertiary,no,51969.0,no,no,telephone,13,aug,618,9,-1,0,unknown,yes
31,management,single,tertiary,no,234.0,no,no,cellular,13,aug,657,7,-1,0,unknown,yes
34,management,single,tertiary,no,14740.5,yes,no,cellular,13,aug,871,4,-1,0,unknown,yes
34,management,single,secondary,no,24.0,no,no,cellular,13,aug,990,1,-1,0,unknown,yes
34,management,single,primary,no,4393.5,no,no,cellular,14,aug,518,2,-1,0,unknown,yes
32,management,single,secondary,no,0.0,no,no,cellular,18,aug,594,4,-1,0,unknown,yes
36,management,single,tertiary,no,4416.0,no,no,cellular,18,aug,882,8,-1,0,unknown,yes
33,management,single,tertiary,no,648.0,no,no,telephone,20,aug,588,6,-1,0,unknown,yes
33,management,single,primary,no,3081.0,no,no,cellular,25,aug,472,6,-1,0,unknown,yes
33,management,single,tertiary,no,3955.5,no,no,cellular,28,aug,583,17,-1,0,unknown,yes
39,management,single,tertiary,no,-25.5,yes,yes,cellular,28,aug,908,1,-1,0,unknown,yes
30,management,single,tertiary,no,2677.5,no,no,unknown,17,oct,235,1,-1,0,unknown,yes
30,management,single,secondary,no,2496.0,yes,no,telephone,20,oct,2016,1,-1,0,unknown,yes
33,management,single,secondary,no,5166.0,yes,no,telephone,21,oct,144,1,91,4,failure,yes
28,management,single,secondary,no,3526.5,no,no,telephone,22,oct,157,1,-1,0,unknown,yes
27,management,single,secondary,no,3493.5,no,no,telephone,27,oct,131,1,-1,0,unknown,yes
34,management,single,secondary,no,1518.0,yes,yes,telephone,28,oct,540,1,-1,0,unknown,yes
35,management,single,tertiary,no,0.0,yes,no,telephone,29,oct,171,1,-1,0,unknown,yes
38,management,single,secondary,no,3705.0,no,no,telephone,31,oct,227,1,-1,0,unknown,yes
39,management,single,secondary,no,1960.5,yes,no,telephone,31,oct,158,1,-1,0,unknown,yes
31,management,single,tertiary,no,1996.5,no,no,unknown,5,nov,268,1,-1,0,unknown,yes
37,management,single,secondary,no,2955.0,yes,no,telephone,5,nov,253,1,-1,0,unknown,yes
34,management,single,tertiary,no,1348.5,yes,no,unknown,12,nov,114,1,170,3,failure,yes
32,management,single,tertiary,no,1050.0,no,no,unknown,13,nov,90,1,-1,0,unknown,yes
35,management,single,secondary,no,190.5,yes,no,telephone,14,nov,162,1,-1,0,unknown,yes
30,management,single,secondary,no,1224.0,yes,no,unknown,14,nov,179,1,-1,0,unknown,yes
31,management,single,tertiary,no,1141.5,no,no,telephone,18,nov,514,2,-1,0,unknown,yes
31,management,single,secondary,no,28.5,yes,no,cellular,18,nov,1978,1,-1,0,unknown,yes
38,management,single,tertiary,no,4851.0,no,no,cellular,18,nov,578,2,-1,0,unknown,yes
30,management,single,tertiary,no,8341.5,yes,no,cellular,19,nov,511,1,-1,0,unknown,yes
35,management,single,tertiary,no,1288.5,yes,yes,cellular,19,nov,1554,1,-1,0,unknown,yes
32,management,single,secondary,no,3922.5,no,no,cellular,19,nov,853,1,-1,0,unknown,yes
32,management,single,tertiary,no,1873.5,yes,no,cellular,19,nov,472,1,-1,0,unknown,yes
38,management,single,primary,no,285.0,yes,no,telephone,19,nov,623,1,175,1,other,yes
32,management,single,tertiary,no,825.0,no,no,cellular,19,nov,337,1,-1,0,unknown,yes
30,management,single,secondary,no,19105.5,no,yes,cellular,19,nov,589,2,-1,0,unknown,yes
32,management,single,secondary,no,381.0,yes,no,cellular,19,nov,1720,3,-1,0,unknown,yes
32,management,single,tertiary,no,1417.5,no,no,cellular,20,nov,531,1,-1,0,unknown,yes
33,management,single,tertiary,no,10264.5,no,no,cellular,20,nov,755,1,100,10,other,yes
39,management,single,tertiary,no,10.5,yes,no,cellular,20,nov,931,4,-1,0,unknown,yes
30,management,single,secondary,no,2691.0,no,no,cellular,20,nov,1035,1,-1,0,unknown,yes
33,management,single,tertiary,no,5101.5,no,no,cellular,20,nov,253,1,-1,0,unknown,yes
31,management,single,secondary,no,471.0,yes,no,cellular,20,nov,1341,3,178,7,failure,yes
35,management,single,secondary,no,8458.5,yes,no,cellular,20,nov,945,2,-1,0,unknown,yes
36,management,single,tertiary,no,6103.5,no,no,cellular,21,nov,517,1,-1,0,unknown,yes
31,management,single,tertiary,no,3883.5,no,no,cellular,21,nov,614,1,-1,0,unknown,yes
39,management,single,tertiary,no,2952.0,no,no,cellular,21,nov,648,1,-1,0,unknown,yes
30,management,single,secondary,no,682.5,yes,no,cellular,21,nov,758,1,-1,0,unknown,yes
31,management,single,tertiary,no,6222.0,yes,no,cellular,21,nov,316,3,99,9,other,yes
33,management,single,tertiary,no,0.0,yes,no,cellular,21,nov,654,1,-1,0,unknown,yes
38,management,single,tertiary,no,5154.0,no,no,cellular,21,nov,663,4,-1,0,unknown,yes
34,management,single,tertiary,no,3949.5,yes,no,cellular,21,nov,705,6,-1,0,unknown,yes
26,management,single,tertiary,no,1221.0,no,no,cellular,28,jan,1387,1,-1,0,unknown,yes
32,management,single,secondary,no,810.0,no,yes,cellular,29,jan,750,1,-1,0,unknown,yes
39,management,single,tertiary,no,3154.5,no,no,cellular,2,feb,588,1,-1,0,unknown,yes
36,management,single,secondary,no,144.0,no,no,cellular,2,feb,302,1,-1,0,unknown,yes
26,management,single,secondary,no,0.0,no,no,cellular,2,feb,1223,2,-1,0,unknown,yes
37,management,single,tertiary,no,6133.5,yes,no,cellular,2,feb,289,2,174,4,other,yes
25,management,single,secondary,no,724.5,no,yes,cellular,3,feb,189,1,-1,0,unknown,yes
39,management,single,secondary,no,-171.0,yes,no,cellular,3,feb,372,1,-1,0,unknown,yes
28,management,single,tertiary,no,0.0,yes,no,cellular,4,feb,546,3,196,4,failure,yes
31,management,single,secondary,no,1821.0,no,no,cellular,4,feb,974,1,-1,0,unknown,yes
30,management,single,tertiary,no,3999.0,no,no,cellular,4,feb,467,1,-1,0,unknown,yes
29,management,single,tertiary,no,1045.5,no,no,cellular,4,feb,206,1,-1,0,unknown,yes
38,management,single,tertiary,no,6574.5,no,no,cellular,4,feb,1381,4,-1,0,unknown,yes
29,management,single,secondary,no,409.5,no,no,cellular,4,feb,2775,2,-1,0,unknown,yes
26,management,single,secondary,no,151.5,yes,no,cellular,5,feb,810,1,268,1,failure,yes
26,management,single,tertiary,no,1087.5,no,no,cellular,5,feb,1916,2,189,29,other,yes
32,management,single,tertiary,no,0.0,no,no,cellular,5,feb,550,4,-1,0,unknown,yes
31,management,single,tertiary,no,19285.5,yes,no,cellular,6,feb,158,1,92,1,success,yes
26,management,single,tertiary,no,1710.0,yes,no,cellular,6,feb,984,2,-1,0,unknown,yes
32,management,single,secondary,no,2818.5,no,no,cellular,6,feb,591,8,-1,0,unknown,yes
29,management,single,tertiary,no,1009.5,yes,no,cellular,9,feb,835,3,-1,0,unknown,yes
31,management,single,tertiary,no,559.5,no,no,cellular,10,feb,132,6,-1,0,unknown,yes
33,management,single,secondary,no,553.5,no,no,cellular,11,feb,446,1,-1,0,unknown,yes
26,management,single,tertiary,no,17793.0,no,no,cellular,13,feb,119,1,-1,0,unknown,yes
37,management,single,tertiary,no,190.5,yes,no,cellular,13,feb,71,1,-1,0,unknown,yes
37,management,single,secondary,no,2314.5,yes,no,cellular,16,feb,138,2,-1,0,unknown,yes
37,management,single,tertiary,no,8032.5,no,no,telephone,17,feb,466,4,-1,0,unknown,yes
39,management,single,secondary,no,3399.0,no,no,cellular,18,feb,208,4,-1,0,unknown,yes
26,management,single,tertiary,no,469.5,no,yes,cellular,26,feb,210,2,-1,0,unknown,yes
28,management,single,tertiary,no,3733.5,yes,no,telephone,27,feb,342,2,-1,0,unknown,yes
39,management,single,primary,no,871.5,yes,no,cellular,27,feb,233,1,270,1,other,yes
37,management,single,tertiary,no,823.5,no,no,cellular,2,mar,239,1,-1,0,unknown,yes
29,management,single,tertiary,no,138.0,no,no,cellular,2,mar,175,5,-1,0,unknown,yes
30,management,single,secondary,no,784.5,no,yes,cellular,3,mar,83,1,-1,0,unknown,yes
34,management,single,secondary,no,322.5,no,no,cellular,3,mar,350,3,-1,0,unknown,yes
37,management,single,tertiary,no,0.0,no,no,cellular,3,mar,426,1,-1,0,unknown,yes
33,management,single,tertiary,no,375.0,no,no,cellular,4,mar,377,6,-1,0,unknown,yes
29,management,single,secondary,no,3489.0,no,no,cellular,6,mar,195,1,-1,0,unknown,yes
36,management,single,tertiary,no,1216.5,no,no,cellular,6,mar,229,1,-1,0,unknown,yes
32,management,single,secondary,no,613.5,no,no,cellular,9,mar,217,2,-1,0,unknown,yes
35,management,single,tertiary,no,1006.5,yes,no,cellular,10,mar,112,1,-1,0,unknown,yes
24,management,single,tertiary,no,-91.5,no,no,cellular,11,mar,95,4,-1,0,unknown,yes
32,management,single,tertiary,no,13393.5,no,no,cellular,11,mar,126,1,-1,0,unknown,yes
31,management,single,tertiary,no,106.5,no,no,cellular,12,mar,119,1,-1,0,unknown,yes
36,management,single,tertiary,no,5110.5,no,no,cellular,16,mar,392,4,-1,0,unknown,yes
37,management,single,tertiary,no,1500.0,yes,no,cellular,17,mar,195,1,-1,0,unknown,yes
37,management,single,tertiary,no,2595.0,no,no,cellular,19,mar,167,1,-1,0,unknown,yes
26,management,single,tertiary,no,4179.0,no,no,cellular,23,mar,415,1,-1,0,unknown,yes
24,management,single,secondary,no,1875.0,no,no,cellular,25,mar,411,2,-1,0,unknown,yes
28,management,single,secondary,no,1915.5,no,no,cellular,26,mar,475,1,-1,0,unknown,yes
36,management,single,secondary,no,847.5,no,no,cellular,27,mar,300,1,-1,0,unknown,yes
23,management,single,tertiary,no,3214.5,no,no,cellular,30,mar,180,2,-1,0,unknown,yes
27,management,single,tertiary,no,1246.5,no,no,cellular,30,mar,1081,2,-1,0,unknown,yes
30,management,single,tertiary,no,466.5,no,no,cellular,31,mar,158,2,-1,0,unknown,yes
27,management,single,tertiary,no,589.5,no,no,cellular,1,apr,165,2,-1,0,unknown,yes
26,management,single,secondary,no,7507.5,no,yes,cellular,3,apr,117,1,-1,0,unknown,yes
26,management,single,secondary,no,5122.5,no,no,cellular,8,apr,209,1,-1,0,unknown,yes
30,management,single,secondary,no,3816.0,no,no,cellular,8,apr,108,2,-1,0,unknown,yes
27,management,single,secondary,no,1939.5,yes,no,cellular,8,apr,1665,3,-1,0,unknown,yes
38,management,single,tertiary,no,309.0,no,no,cellular,8,apr,350,2,-1,0,unknown,yes
30,management,single,secondary,no,4929.0,yes,no,cellular,9,apr,743,1,-1,0,unknown,yes
33,management,single,secondary,no,1078.5,yes,no,cellular,9,apr,448,2,316,6,failure,yes
30,management,single,tertiary,no,3816.0,no,no,cellular,9,apr,152,2,-1,0,unknown,yes
28,management,single,tertiary,no,343.5,yes,no,cellular,9,apr,1042,2,315,2,other,yes
35,management,single,tertiary,no,2398.5,yes,yes,cellular,13,apr,407,1,-1,0,unknown,yes
34,management,single,tertiary,no,1054.5,yes,no,cellular,14,apr,342,1,-1,0,unknown,yes
33,management,single,tertiary,no,0.0,yes,no,cellular,14,apr,535,3,328,1,failure,yes
36,management,single,secondary,no,-379.5,yes,no,cellular,14,apr,1073,1,-1,0,unknown,yes
30,management,single,tertiary,no,495.0,no,no,cellular,14,apr,111,1,-1,0,unknown,yes
32,management,single,secondary,yes,-79.5,yes,no,cellular,16,apr,648,1,272,1,other,yes
37,management,single,secondary,no,2643.0,no,no,cellular,16,apr,334,2,-1,0,unknown,yes
32,management,single,tertiary,no,441.0,yes,no,cellular,17,apr,1095,1,274,5,success,yes
30,management,single,secondary,no,103.5,yes,no,cellular,17,apr,997,1,-1,0,unknown,yes
39,management,single,tertiary,no,-4587.0,yes,yes,cellular,17,apr,882,3,-1,0,unknown,yes
35,management,single,tertiary,no,595.5,yes,no,cellular,17,apr,594,1,-1,0,unknown,yes
37,management,single,primary,no,4731.0,yes,no,cellular,17,apr,404,1,305,3,failure,yes
36,management,single,secondary,yes,-730.5,yes,no,cellular,17,apr,1080,1,-1,0,unknown,yes
39,management,single,tertiary,no,2286.0,no,no,cellular,20,apr,567,1,-1,0,unknown,yes
33,management,single,secondary,no,2952.0,yes,no,cellular,20,apr,1817,3,-1,0,unknown,yes
26,management,single,secondary,no,204.0,no,no,cellular,20,apr,120,1,-1,0,unknown,yes
37,management,single,secondary,no,0.0,yes,no,cellular,21,apr,146,4,-1,0,unknown,yes
35,management,single,tertiary,no,1056.0,no,no,cellular,21,apr,164,1,-1,0,unknown,yes
26,management,single,tertiary,no,1701.0,no,no,cellular,21,apr,464,4,-1,0,unknown,yes
30,management,single,unknown,no,9421.5,no,no,cellular,21,apr,149,2,-1,0,unknown,yes
31,management,single,tertiary,no,1014.0,yes,no,cellular,22,apr,124,2,343,2,other,yes
39,management,single,secondary,no,1098.0,no,no,cellular,23,apr,522,4,-1,0,unknown,yes
30,management,single,tertiary,no,597.0,no,no,cellular,24,apr,235,2,-1,0,unknown,yes
32,management,single,tertiary,no,4461.0,yes,no,cellular,24,apr,227,1,4,1,failure,yes
31,management,single,tertiary,no,1621.5,no,no,cellular,24,apr,202,5,261,2,failure,yes
35,management,single,secondary,no,223.5,yes,no,cellular,29,apr,507,3,349,1,other,yes
34,management,single,secondary,no,960.0,yes,no,cellular,29,apr,636,2,-1,0,unknown,yes
30,management,single,tertiary,no,79.5,no,no,cellular,29,apr,375,1,-1,0,unknown,yes
39,management,single,secondary,no,22.5,yes,no,cellular,30,apr,510,1,-1,0,unknown,yes
29,management,single,secondary,no,117.0,no,no,cellular,30,apr,239,1,-1,0,unknown,yes
31,management,single,tertiary,no,5073.0,no,no,cellular,30,apr,739,1,-1,0,unknown,yes
29,management,single,secondary,no,471.0,no,no,cellular,30,apr,465,1,-1,0,unknown,yes
34,management,single,secondary,no,2005.5,no,no,cellular,30,apr,442,1,-1,0,unknown,yes
33,management,single,tertiary,no,6601.5,no,no,cellular,30,apr,439,1,-1,0,unknown,yes
35,management,single,tertiary,no,1491.0,no,no,cellular,30,apr,400,1,87,2,failure,yes
38,management,single,tertiary,no,1651.5,no,no,cellular,30,apr,800,1,-1,0,unknown,yes
33,management,single,unknown,no,193.5,yes,yes,cellular,30,apr,482,1,161,1,failure,yes
33,management,single,tertiary,no,82.5,no,no,cellular,30,apr,526,2,87,3,failure,yes
26,management,single,secondary,no,382.5,no,no,cellular,30,apr,457,1,80,1,success,yes
26,management,single,tertiary,no,5266.5,no,no,cellular,30,apr,439,2,-1,0,unknown,yes
34,management,single,tertiary,no,8193.0,no,no,cellular,30,apr,430,1,-1,0,unknown,yes
31,management,single,secondary,no,271.5,no,no,cellular,30,apr,325,1,-1,0,unknown,yes
24,management,single,primary,no,711.0,no,no,cellular,30,apr,551,1,-1,0,unknown,yes
25,management,single,tertiary,no,328.5,no,no,cellular,30,apr,458,1,-1,0,unknown,yes
34,management,single,tertiary,no,27.0,yes,yes,cellular,30,apr,359,1,-1,0,unknown,yes
34,management,single,tertiary,no,1842.0,no,no,cellular,30,apr,580,2,84,8,success,yes
31,management,single,tertiary,no,2428.5,no,no,cellular,30,apr,327,2,-1,0,unknown,yes
39,management,single,tertiary,no,0.0,no,no,cellular,30,apr,342,3,22,3,other,yes
33,management,single,secondary,no,747.0,no,no,cellular,30,apr,301,1,-1,0,unknown,yes
33,management,single,tertiary,no,1050.0,no,no,cellular,30,apr,169,1,80,2,success,yes
31,management,single,tertiary,no,531.0,no,no,cellular,30,apr,502,1,9,2,success,yes
37,management,single,tertiary,no,4711.5,no,no,cellular,4,may,384,2,-1,0,unknown,yes
28,management,single,primary,no,354.0,no,no,cellular,4,may,193,1,87,3,failure,yes
33,management,single,tertiary,no,8155.5,no,no,cellular,4,may,267,1,91,1,failure,yes
36,management,single,tertiary,no,4831.5,no,no,cellular,4,may,322,11,-1,0,unknown,yes
33,management,single,secondary,no,3066.0,yes,no,cellular,4,may,532,3,-1,0,unknown,yes
36,management,single,secondary,no,282.0,yes,yes,cellular,4,may,1046,3,333,2,success,yes
30,management,single,tertiary,no,3999.0,no,no,cellular,4,may,781,3,89,1,success,yes
31,management,single,secondary,no,6273.0,yes,no,cellular,4,may,347,2,-1,0,unknown,yes
39,management,single,tertiary,no,3681.0,yes,no,cellular,4,may,716,3,263,2,failure,yes
35,management,single,secondary,no,282.0,yes,no,cellular,5,may,863,1,78,8,success,yes
39,management,single,tertiary,no,0.0,yes,no,cellular,5,may,811,2,-1,0,unknown,yes
33,management,single,tertiary,no,141.0,yes,no,cellular,5,may,955,2,-1,0,unknown,yes
30,management,single,secondary,no,-783.0,yes,yes,cellular,5,may,670,2,286,6,failure,yes
27,management,single,secondary,no,1065.0,yes,yes,cellular,6,may,653,1,334,2,success,yes
30,management,single,tertiary,no,622.5,yes,yes,cellular,6,may,984,1,343,4,failure,yes
34,management,single,tertiary,no,0.0,yes,no,cellular,6,may,611,1,183,1,failure,yes
29,management,single,secondary,no,399.0,yes,no,cellular,6,may,540,1,-1,0,unknown,yes
32,management,single,tertiary,no,3697.5,yes,yes,cellular,7,may,923,1,-1,0,unknown,yes
